comparison_id,trial_id,ae_concept,analysis_tier,source_pair,percentage_1,percentage_2,absolute_percentage_difference,pair_confirmation_status,source_1_visual_status,source_2_visual_status,source_1_visual_note,source_2_visual_note,final_audit_status
FULLCOMP000003,TRIAL001,any_adverse_event,sensitivity_candidate,publication vs FDA review,99.5,99.6,0.10,auto_source_confirmed,visual_audit_pass,visual_audit_pass,Matched page shows Supplementary Table S3 with overall safety rows for the RP2D cohort.,Matched page shows Table 41 most frequent TEAEs and related FDA text.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000005,TRIAL001,dose_interruption,sensitivity_candidate,publication vs FDA review,35.3,33.3,2.00,auto_source_confirmed,visual_audit_pass,visual_audit_pass,Matched page shows Supplementary Table S3 with overall safety rows for the RP2D cohort.,Matched page shows Table 38 adverse events associated with dose interruption.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000040,TRIAL001,serious_adverse_event,sensitivity_candidate,publication vs FDA review,22.8,20.1,2.70,auto_source_confirmed,visual_audit_pass,visual_audit_pass,Matched page shows Supplementary Table S3 with overall safety rows for the RP2D cohort.,Matched page shows Table 35 serious adverse events in the primary studies.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000052,TRIAL002,adverse_event_leading_to_discontinuation,primary_candidate,publication vs FDA review,8.0,8.0,0.00,auto_source_confirmed,visual_audit_pass,visual_audit_pass,"Matched page shows DREAMM-2 publication narrative with any AE, dose delay, dose reduction, and discontinuation values.",Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000055,TRIAL002,adverse_event_leading_to_discontinuation,primary_candidate,publication vs FDA review,10.0,10.0,0.00,auto_source_confirmed,visual_audit_pass,visual_audit_pass,"Matched page shows DREAMM-2 publication narrative with any AE, dose delay, dose reduction, and discontinuation values.",Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000056,TRIAL002,any_adverse_event,primary_candidate,publication vs FDA review,98.0,98.0,0.00,auto_source_confirmed,visual_audit_pass,visual_audit_pass,"Matched page shows DREAMM-2 publication narrative with any AE, dose delay, dose reduction, and discontinuation values.",Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000059,TRIAL002,any_adverse_event,primary_candidate,publication vs FDA review,100.0,100.0,0.00,auto_source_confirmed,visual_audit_pass,visual_audit_pass,"Matched page shows DREAMM-2 publication narrative with any AE, dose delay, dose reduction, and discontinuation values.",Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000060,TRIAL002,dose_interruption,primary_candidate,publication vs FDA review,54.0,54.0,0.00,auto_source_confirmed,visual_audit_pass,visual_audit_pass,"Matched page shows DREAMM-2 publication narrative with any AE, dose delay, dose reduction, and discontinuation values.",Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000063,TRIAL002,dose_interruption,primary_candidate,publication vs FDA review,62.0,62.0,0.00,auto_source_confirmed,visual_audit_pass,visual_audit_pass,"Matched page shows DREAMM-2 publication narrative with any AE, dose delay, dose reduction, and discontinuation values.",Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000064,TRIAL002,dose_reduction,primary_candidate,publication vs FDA review,29.0,29.0,0.00,auto_source_confirmed,visual_audit_pass,visual_audit_pass,"Matched page shows DREAMM-2 publication narrative with any AE, dose delay, dose reduction, and discontinuation values.",Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
