comparison_id,trial_id,analysis_tier,grade_basis,ae_concept,source_1,source_2,observation_id_1,observation_id_2,document_id_1,document_id_2,locator_1,locator_2,term_1,term_2,grade_category_1,grade_category_2,seriousness_1,seriousness_2,causality_1,causality_2,denominator_1,denominator_2,percentage_1,percentage_2,absolute_percentage_difference,analysis_population_1,analysis_population_2,confirmation_question,confirmation_status
FULLCOMP000052,TRIAL002,primary_candidate,automatic_A_from_full_cohort_matrix,adverse_event_leading_to_discontinuation,publication,FDA review,PUBCORE00029,FDACORE00013,PUB_DREAMM_MAIN,FDA_ADC009_MDR_761158_ORIG1,main article p6,"Table 27, FDA review p148",Adverse events leading to permanent treatment discontinuation,Discontinuation due to TEAEs,all grades,all grades,discontinuation,discontinuation,all-cause,all-cause,95,95,8.0,8.0,0.00,2.5 mg/kg safety population,DREAMM-2 safety population,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000055,TRIAL002,primary_candidate,automatic_A_from_full_cohort_matrix,adverse_event_leading_to_discontinuation,publication,FDA review,PUBCORE00030,FDACORE00020,PUB_DREAMM_MAIN,FDA_ADC009_MDR_761158_ORIG1,main article p6,"Table 27, FDA review p148",Adverse events leading to permanent treatment discontinuation,Discontinuation due to TEAEs,all grades,all grades,discontinuation,discontinuation,all-cause,all-cause,99,99,10.0,10.0,0.00,3.4 mg/kg safety population,DREAMM-2 safety population,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000056,TRIAL002,primary_candidate,automatic_A_from_full_cohort_matrix,any_adverse_event,publication,FDA review,PUBCORE00017,FDACORE00009,PUB_DREAMM_MAIN,FDA_ADC009_MDR_761158_ORIG1,main article p6,"Table 27, FDA review p148",Any adverse event,Any Grade TEAEs,all grades,all grades,any,any,all-cause,all-cause,95,95,98.0,98.0,0.00,2.5 mg/kg safety population,DREAMM-2 safety population,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000059,TRIAL002,primary_candidate,automatic_A_from_full_cohort_matrix,any_adverse_event,publication,FDA review,PUBCORE00018,FDACORE00016,PUB_DREAMM_MAIN,FDA_ADC009_MDR_761158_ORIG1,main article p6,"Table 27, FDA review p148",Any adverse event,Any Grade TEAEs,all grades,all grades,any,any,all-cause,all-cause,99,99,100.0,100.0,0.00,3.4 mg/kg safety population,DREAMM-2 safety population,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000060,TRIAL002,primary_candidate,automatic_A_from_full_cohort_matrix,dose_interruption,publication,FDA review,PUBCORE00025,FDACORE00014,PUB_DREAMM_MAIN,FDA_ADC009_MDR_761158_ORIG1,main article p6,"Table 27, FDA review p148",Adverse events leading to dose delays,Dose interruption due to TEAEs,all grades,all grades,dose_delay,dose_interruption,all-cause,all-cause,95,95,54.0,54.0,0.00,2.5 mg/kg safety population,DREAMM-2 safety population,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000063,TRIAL002,primary_candidate,automatic_A_from_full_cohort_matrix,dose_interruption,publication,FDA review,PUBCORE00026,FDACORE00021,PUB_DREAMM_MAIN,FDA_ADC009_MDR_761158_ORIG1,main article p6,"Table 27, FDA review p148",Adverse events leading to dose delays,Dose interruption due to TEAEs,all grades,all grades,dose_delay,dose_interruption,all-cause,all-cause,99,99,62.0,62.0,0.00,3.4 mg/kg safety population,DREAMM-2 safety population,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000064,TRIAL002,primary_candidate,automatic_A_from_full_cohort_matrix,dose_reduction,publication,FDA review,PUBCORE00027,FDACORE00015,PUB_DREAMM_MAIN,FDA_ADC009_MDR_761158_ORIG1,main article p6,"Table 27, FDA review p148",Adverse events leading to dose reductions,Dose reduction due to TEAEs,all grades,all grades,dose_reduction,dose_reduction,all-cause,all-cause,95,95,29.0,29.0,0.00,2.5 mg/kg safety population,DREAMM-2 safety population,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000067,TRIAL002,primary_candidate,automatic_A_from_full_cohort_matrix,dose_reduction,publication,FDA review,PUBCORE00028,FDACORE00022,PUB_DREAMM_MAIN,FDA_ADC009_MDR_761158_ORIG1,main article p6,"Table 27, FDA review p148",Adverse events leading to dose reductions,Dose reduction due to TEAEs,all grades,all grades,dose_reduction,dose_reduction,all-cause,all-cause,99,99,41.0,41.0,0.00,3.4 mg/kg safety population,DREAMM-2 safety population,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000073,TRIAL002,primary_candidate,automatic_A_from_full_cohort_matrix,fatal_adverse_event,publication,FDA review,PUBCORE00021,FDACORE00011,PUB_DREAMM_MAIN,FDA_ADC009_MDR_761158_ORIG1,main article p7-8,"Table 27, FDA review p148",Death because of serious adverse event,Fatal (Grade 5) TEAEs,grade 5,grade 5,fatal,fatal,all-cause,all-cause,95,95,3.0,3.0,0.00,2.5 mg/kg safety population,DREAMM-2 safety population,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000081,TRIAL002,primary_candidate,automatic_A_from_full_cohort_matrix,fatal_adverse_event,publication,FDA review,PUBCORE00022,FDACORE00018,PUB_DREAMM_MAIN,FDA_ADC009_MDR_761158_ORIG1,main article p7-8,"Table 27, FDA review p148",Death because of serious adverse event,Fatal (Grade 5) TEAEs,grade 5,grade 5,fatal,fatal,all-cause,all-cause,99,99,7.0,7.0,0.00,3.4 mg/kg safety population,DREAMM-2 safety population,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
